REGION,SALARY,YEAR
Aceh,128000,1997
Aceh,147000,1998
Aceh,171000,1999
Aceh,265000,2000
Aceh,300000,2001
Aceh,330000,2002
Aceh,425000,2003
Aceh,550000,2004
Aceh,620000,2005
Aceh,820000,2006
Aceh,850000,2007
Aceh,1000000,2008
Aceh,1200000,2009
Aceh,1300000,2010
Aceh,1350000,2011
Aceh,1400000,2012
Aceh,1550000,2013
Aceh,1750000,2014
Aceh,1900000,2015
Aceh,2118500,2016
Aceh,2500000,2017
Aceh,2700000,2018
Aceh,2916810,2019
Aceh,3165031,2020
Aceh,3165031,2021
Aceh,3166460,2022
Aceh,3413666,2023
Aceh,3460672,2024
Bali,141500,1997
Bali,162500,1998
Bali,187000,1999
Bali,214000,2000
Bali,309800,2001
Bali,341000,2002
Bali,410000,2003
Bali,425000,2004
Bali,447500,2005
Bali,510000,2006
Bali,622000,2007
Bali,682650,2008
Bali,760000,2009
Bali,829316,2010
Bali,890000,2011
Bali,967500,2012
Bali,1181000,2013
Bali,1542600,2014
Bali,1621172,2015
Bali,1807600,2016
Bali,1956727,2017
Bali,2127157,2018
Bali,2297969,2019
Bali,2494000,2020
Bali,2494000,2021
Bali,2516971,2022
Bali,2713672,2023
Bali,2813672,2024
Bangka Belitung,3498479,2023
Bangka Belitung,3640000,2024
Banten,176800,1998
Banten,208800,1999
Banten,230000,2000
Banten,245000,2001
Banten,360000,2002
Banten,475000,2003
Banten,515000,2004
Banten,585000,2005
Banten,661613,2006
Banten,746500,2007
Banten,837000,2008
Banten,917500,2009
Banten,955300,2010
Banten,1000000,2011
Banten,1042000,2012
Banten,1170000,2013
Banten,1325000,2014
Banten,1600000,2015
Banten,1784000,2016
Banten,1931180,2017
Banten,2099385,2018
Banten,2267990,2019
Banten,2460997,2020
Banten,2460996,2021
Banten,2501203,2022
Banten,2661280,2023
Banten,2727812,2024
Bengkulu,127500,1997
Bengkulu,146500,1998
Bengkulu,150000,1999
Bengkulu,173000,2000
Bengkulu,240000,2001
Bengkulu,295000,2002
Bengkulu,330000,2003
Bengkulu,363000,2004
Bengkulu,430000,2005
Bengkulu,516000,2006
Bengkulu,644838,2007
Bengkulu,690000,2008
Bengkulu,735000,2009
Bengkulu,780000,2010
Bengkulu,815000,2011
Bengkulu,930000,2012
Bengkulu,1200000,2013
Bengkulu,1350000,2014
Bengkulu,1500000,2015
Bengkulu,1605000,2016
Bengkulu,1730000,2017
Bengkulu,1888741,2018
Bengkulu,2040407,2019
Bengkulu,2213604,2020
Bengkulu,2888564,2021
Bengkulu,2238094,2022
Bengkulu,2418280,2023
Bengkulu,2507079,2024
DKI Jakarta,4900798,2023
DKI Jakarta,5067381,2024
Daerah Istimewa Yogyakarta,1981782,2023
Daerah Istimewa Yogyakarta,2125897,2024
Di Yogyakarta,106500,1997
Di Yogyakarta,122500,1998
Di Yogyakarta,130000,1999
Di Yogyakarta,194500,2000
Di Yogyakarta,237500,2001
Di Yogyakarta,321800,2002
Di Yogyakarta,360000,2003
Di Yogyakarta,365000,2004
Di Yogyakarta,400000,2005
Di Yogyakarta,460000,2006
Di Yogyakarta,500000,2007
Di Yogyakarta,586000,2008
Di Yogyakarta,700000,2009
Di Yogyakarta,745694,2010
Di Yogyakarta,808000,2011
Di Yogyakarta,892660,2012
Di Yogyakarta,947114,2013
Di Yogyakarta,988500,2014
Di Yogyakarta,988500,2015
Di Yogyakarta,988500,2016
